AbandonodepersonaArt106párr1ro;Abandono de persona - Art.106 párr. 1ro
AbandonodepersonaagravadoporelvínculoArt107;Abandono de persona agravado por el vínculo - Art.107
AbandonodepersonaseguidademuerteArt106infine;Abandono de persona seguida de muerte - Art.106 in fine
AbandonodePersonasseguidademuerteArt106infine;Abandono de persona seguida de muerte - Art.106 in fine
AbigeatoArt167ter;Abigeato - Art.167 ter
AbigeatoagravadoArt167terpárr2do;Abigeato agravado - Art.167 ter párr. 2do
Abigeatoagravado(funcionariopúblico)Art167quaterInc4º;Abigeato agravado (funcionario público) - Art.167 quater Inc.4º
Abigeatoagravado(robodeganado)Art167quaterInc1º;Abigeato agravado (robo de ganado) - Art.167 quater Inc.1º
Abigeatoagravado(participaciónde3personas)Art167quaterInc6º;Abigeato agravado (participación de 3 personas) - Art.167 quater Inc.6º
Abigeatoagravado(usodedocumentaciónfalsa)Art167quaterInc3º;Abigeato agravado (uso de documentación falsa) - Art.167 quater Inc.3º
AbigeatoagravadoporelautorArt167quinque;Abigeato agravado por el autor - Art.167 quinque
AbortodelamujerpropiooconsentidoArt88;Aborto de la mujer propio o consentido - Art.88
AbortoconconsentimientodelamujerArt85Inc2º;Aborto con consentimiento de la mujer - Art.85 Inc.2º
AbortosinconsentimientodelamujerArt85Inc1º;Aborto sin consentimiento de la mujer - Art.85 Inc.1º
Abusodearmasagravado(artículo80)Art105;Abuso de armas agravado (artículo 80) - Art.105
AbusodearmasenestadodeemociónviolentaArt105;Abuso de armas en estado de emoción violenta - Art.105
AbusodeautoridadArt248;Abuso de autoridad - Art.248
AbusosexualArt119párr1ro;Abuso sexual - Art.119 párr. 1ro
AbusosexualagravadoArt119párr5to;Abuso sexual agravado - Art 119 párr. 5to
AbusosexualconaccesocarnalArt119párr3ro;Abuso sexual con acceso carnal - Art.119 párr. 3ro
AbusosexualconaccesocarnalagravadoArt119párr4to;Abuso sexual con acceso carnal agravado - Art.119 párr. 4to
AbusosexualgravementeultrajanteArt119párr2do;Abuso sexual gravemente ultrajante - Art.119 párr. 2do
AbusosexualseguidodemuerteArt124;Abuso sexual seguido de muerte - Art.124
AccesoilegalaunbancodedatospersonalesArt157bisInc1º;Acceso ilegal a un banco de datos personales - Art.157 bis Inc.1º
AccesoindebidoasistemaodatoinformáticodeaccesorestringidoArt153bis;Acceso indebido a sistema o dato informático de acceso restringido - Art.153 bis
AccesoindebidoasistemaodatoinformáticodeaccesorestringidoagravadoArt153bisinfine;Acceso indebido a sistema o dato informático de acceso restringido agravado - Art.153 bis in fine
Acopiodearmasdefuego,piezasomuniciones,otenenciadeinstrumentalparaproducirlasArt189bisInc3º;Acopio de armas de fuego, piezas o municiones, o tenencia de instrumental para producirlas - Art.189 bis Inc.3º
AdulteraciónosupresiónenlanumeraciónograbadodearmasdefuegoArt189bisInc5ºinfine;Adulteración o supresión en la numeración o grabado de armas de fuego - Art.189 bis Inc.5º in fine
AgresiónconarmaArt104infine;Agresión con arma - Art.104 in fine
AllanamientoilegalArt151;Allanamiento ilegal - Art.151
AlteraciónosupresióndeestadocivilArt138;Alteración o supresión de estado civil - Art.138
Alteraciónpeligrosadeaguaspotables,alimentosomedicinasArt200;Alteración peligrosa de aguas potables, alimentos o medicinas - Art.200
Alteraciónpeligrosadeaguaspotables,alimentosomedicinasconlesionesgravesArt201bis;Alteración peligrosa de aguas potables, alimentos o medicinas con lesiones graves - Art.201 bis
AmenazasArt149bis;Amenazas - Art.149 bis
AmenazasagravadasArt149bispárr2do;Amenazas agravadas - Art.149 bis párr. 2do
ApropiacióndecosaajenahabidaporerrorocasofortuitoArt175Inc2º;Apropiación de cosa ajena habida por error o caso fortuito - Art.175 Inc.2º
ApropiacióndecosaperdidaotesoroArt175Inc1º;Apropiación de cosa perdida o tesoro - Art.175 Inc.1º
ApropiacióndeprendaArt175Inc3º;Apropiación de prenda - Art.175 Inc.3º
AsociaciónilícitaArt210;Asociación ilícita - Art.210
AtentadoscontraelordenconstitucionalylavidademocráticaArt226;Atentados contra el orden constitucional y la vida democrática - Art.226
AtentadocontralaautoridadArt237;Atentado contra la autoridad - Art.237
AtentadocontralaautoridadagravadoporlacomisiónamanoarmadaArt238Inc1º;Atentado contra la autoridad agravado por la comisión a mano armada - Art.238 Inc.1º
AtentadocontralaautoridadagravadoporlacomisiónporfuncionariopúblicoArt238Inc3º;Atentado contra la autoridad agravado por la comisión por funcionario público - Art.238 Inc.3º
AtentadoferroviarioArt191Inc1º;Atentado ferroviario - Art.191 Inc.1º
AtentadoferroviarioconlesionadosArt191Inc3º;Atentado ferroviario con lesionados - Art.191 Inc.3º
Autolesiones;Autolesiones
Averiguacióndecausalesdemuerte;Averiguación de causales de muerte
AveriguacióndeIlícito;Averiguación de Ilícito
Averiguacióndeparadero;Averiguación de paradero
CalumniasArt109;Calumnias - Art.109
Captaciónpormediostecnológicosdemenordeedadconfinessexuales(Grooming)Art131;Captación por medios tecnológicos de menor de edad con fines sexuales (Grooming) - Art.131
CercenamientooalteracióndemonedaArt283;Cercenamiento o alteración de moneda - Art.283
CirculacióndemonedafalsarecibidadebuenafeArt284;Circulación de moneda falsa recibida de buena fe - Art.284
CircunvencióndeincapacesArt174Inc2º;Circunvención de incapaces - Art.174 Inc.2º
CoacciónArt149bisinfine;Coacción - Art.149 bis in fine
CoacciónagravadaArt149ter;Coacción agravada - Art.149 ter
CohechoactivoArt258;Cohecho activo - Art.258
CohechoagravadoporlacalidaddelautorArt257;Cohecho agravado por la calidad del autor - Art.257
CoechoagravadoporlacalidaddelautorArt257;Cohecho agravado por la calidad del autor - Art.257
CohechopasivoArt256;Cohecho pasivo - Art.256
Comisióndedelitodeacciónpública;Comisión de delito de acción pública
CompulsiónalahuelgaArt158;Compulsión a la huelga - Art.158
ConcurrenciadeslealArt159;Concurrencia desleal - Art.159
CorrupcióndeMenoresAgravada(menorde13años)Art125párr2do;Corrupción de Menores Agravada (menor de 13 años) - Art.125 párr. 2do
CorrupcióndeMenoresAgravada(porelmediooporelvínculo)Art125párr3ro;Corrupción de Menores Agravada (por el medio o por el vínculo) - Art.125 párr. 3ro
CorrupcióndeMenoresde18añosArt125párr1ro;Corrupción de Menores de 18 años - Art.125 párr. 1ro
DañoArt183;Daño - Art.183
DañoagravadoporelfindeimpedirellibreejerciciodelaautoridadArt184Inc1º;Daño agravado por el fin de impedir el libre ejercicio de la autoridad - Art.184 Inc.1º
DañoagravadoporelempleodesustanciasvenenosasocorrosivasArt184Inc3º;Daño agravado por el empleo de sustancias venenosas o corrosivas - Art.184 Inc.3º
Dañoagravadoporserejecutadosencosasdevalorcientífico,culturaloenbienesdeusopúblicoArt184Inc5º;Daño agravado por ser ejecutados en cosas de valor científico, cultural o en bienes de uso público - Art.184 Inc.5º
